transaction_date,description,withdrawal_amount,deposit_amount,balance,flag_DD_large_withdrawal,flag_RTGS_large_deposit,flag_entities
2018-04-01,Statement of account,,,,False,False,False
,"0000000000010726
02/04/18
130.00",10726020418130.0,,5411.09,False,False,False
,"000000000000000
04/04/18",40418.0,0.98,5412.07,False,False,False
,"0000000000503287
05/04/18
130.00",503287050418130.0,,5282.07,False,False,False
,"0000000000001084
05/04/18
500.00",1084050418500.0,,4782.07,False,False,False
,"0000000000007090
06/04/18
4,500.00",70900604184500.0,,282.07,False,False,False
,"0000855503300001
06/04/18",8.555033000010605e+17,13887.0,14169.07,False,False,False
,"0000000000001129
07/04/18
150.00",1129070418150.0,,14019.07,False,False,False
,"0000000000589151
09/04/18
210.00",589151090418210.0,,13809.07,False,False,False
,"0000000000001012
09/04/18
13,500.00",101209041813500.0,,309.07,False,False,False
,"000000000000000
09/04/18",90418.0,0.98,310.05,False,False,False
,"0000000000001175
10/04/18
300.00",1175100418300.0,,10.05,False,False,False
,"0000868748200004
07/05/18",8.687482000040705e+17,13887.0,13897.05,False,False,False
,"0000000000001808
07/05/18
300.00",1808070518300.0,,13597.05,False,False,False
,"0000000000001818
07/05/18
500.00",1818070518500.0,,13097.05,False,False,False
,"0000000000001866
08/05/18
500.00",1866080518500.0,,12597.05,False,False,False
,"0000000000490240
09/05/18",490240090518.0,50000.0,62597.05,False,False,False
,"0000812913855216
09/05/18
1.00",8.129138552160905e+18,,62596.05,False,False,False
,"0000000000001861
09/05/18
2,000.00",18610905182000.0,,60596.05,False,False,False
,"0000000000004131
09/05/18
25,000.00",413109051825000.0,,35596.05,False,False,False
,"0000000000004132
09/05/18
5,000.00",41320905185000.0,,30596.05,False,False,False
